  # HOST                                        SRC ANBIETER BIETET              WIR NUTZEN                   FORCES                
=======================================================================================================================================
210 re.jrc.ec.europa.eu                           1 1 Quellen                    1 Quellen                    em
211 vires.services                                1 1 Quellen                    2 Params                     gravity
212 services.terrascope.be                        1 1 Quellen                    1 Quellen                    diffusion
213 catalogue.clms.copernicus.eu                  1 1 Quellen                    1 Quellen                    em
214 usdmdataservices.unl.edu                      1 1 Quellen                    1 Quellen                    em
215 ows.emodnet-humanactivities.eu                1 1 Quellen                    1 Quellen                    em
216 erddap.dataexplorer.oceanobservatories.o      1 1 Quellen                    1 Quellen                    em
217 datacenter.iers.org                           1 1 Quellen                    1 Quellen                    gravity
218 maia.usno.navy.mil                            1 1 Quellen                    1 Quellen                    em
219 network.igs.org                               1 1 Quellen                    1 Quellen                    seismic-surface
220 www.tng-project.org                           1 1 Quellen                    1 Quellen                    gravity
221 www.ioc-sealevelmonitoring.org                1 1 Quellen                    1 Quellen                    gravity
222 ds.iris.edu                                   1 1 Quellen                    1 Quellen                    seismic-body
223 landsatlook.usgs.gov                          1 1 Quellen                    1 Quellen                    em
224 tess.mit.edu                                  1 1 Quellen                    1 Quellen                    em
225 www.crystallography.net                       1 1 Quellen                    1 Quellen                    em
226 aa.usno.navy.mil                              1 1 Quellen                    1 Quellen                    em
227 data.giss.nasa.gov                            1 1 Quellen                    1 Quellen                    thermal
228 modis.gsfc.nasa.gov                           1 1 Quellen                    1 Quellen                    em
229 physics.nist.gov                              1 1 Quellen                    1 Quellen                    em
230 psl.noaa.gov                                  1 1 Quellen                    1 Quellen                    thermal
231 gis.ngdc.noaa.gov                             1 1 Quellen                    1 Quellen                    gravity
232 registry.npmjs.org                            1 1 Quellen                    1 Quellen                    em
233 api.astrocats.space                           1 1 Quellen                    1 Quellen                    em
234 my.cmems-du.eu                                1 1 Quellen                    1 Quellen                    em
235 world.openfoodfacts.org                       1 1 Quellen                    1 Quellen                    em
236 stac.openlandmap.org                          1 1 Quellen                    1 Quellen                    diffusion
237 paleobiodb.org                                1 1 Quellen                    1 Quellen                    em
238 atlas.ripe.net                                1 1 Quellen                    1 Quellen                    em
239 gis1.servirglobal.net                         1 1 Quellen                    1 Quellen                    diffusion
240 tevcat2.tevcat.org                            1 1 Quellen                    1 Quellen                    em
241 data.cosmic.ucar.edu                          1 1 Quellen                    1 Quellen                    diffusion
242 rest.uniprot.org                              1 1 Quellen                    1 Quellen                    em
243 nwis.waterdata.usgs.gov                       1 1 Quellen                    1 Quellen                    diffusion
244 www.sciencebase.gov                           1 1 Quellen                    1 Quellen                    diffusion
245 developer.uspto.gov                           1 1 Quellen                    1 Quellen                    em
246 www.wikidata.org                              1 1 Quellen                    1 Quellen                    em
247 api.openbrewerydb.org                         1 1 Quellen                    1 Quellen                    em
248 services7.arcgis.com                          1 1 Quellen                    1 Quellen                    diffusion
249 www.glims.org                                 1 1 Quellen                    1 Quellen                    thermal
250 stationview.raspberryshake.org                1 1 Quellen                    1 Quellen                    seismic-surface
251 egg.astro.cornell.edu                         1 1 Quellen                    1 Quellen                    em
252 www.metoffice.gov.uk                          1 1 Quellen                    1 Quellen                    em
253 data-api.globalforestwatch.org                1 1 Quellen                    1 Quellen                    em
254 esgf.ceda.ac.uk                               1 1 Quellen                    1 Quellen                    em
255 stac.eoapi.dev                                1 1 Quellen                    1 Quellen                    em
256 icgem.gfz-potsdam.de                          1 1 Quellen                    1 Quellen                    em
257 api.open-elevation.com                        1 1 Quellen                    1 Quellen                    em
258 planetarycomputer.microsoft.com               1 1 Quellen                    1 Quellen                    em

  TOTAL: 258 Hosts, 2198 Quellen
  Verifizierte Anbieter-Gesamtzahlen: 29 Hosts
